Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,hour,day_of_year,DNI,T_amb,Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,P_turbine,P_pumps,P_net,efficiency,solar_efficiency,ex_nuclear,ex_solar,efficiency_II
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,222,0.0,27.35,0.0,1.0,567.279923475184,0.0,0.0,5263.268189507071,-5263.268189507071,,,0.0,0.0,
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,223,0.0,26.49,0.0,1.0,567.279923475184,0.0,0.0,5263.268189507071,-5263.268189507071,,,0.0,0.0,
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,223,0.0,25.36,0.0,1.0,567.279923475184,0.0,0.0,5263.268189507071,-5263.268189507071,,,0.0,0.0,
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223,0.0,24.29,0.0,1.0,567.279923475184,0.0,0.0,5263.268189507071,-5263.268189507071,,,0.0,0.0,
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,223,0.0,23.04,0.0,1.0,567.279923475184,0.0,0.0,5263.268189507071,-5263.268189507071,,,0.0,0.0,
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,223,0.0,22.04,0.0,1.0,567.279923475184,0.0,0.0,5263.268189507071,-5263.268189507071,,,0.0,0.0,
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,223,0.0,21.02,0.0,1.0,567.279923475184,0.0,0.0,5263.268189507071,-5263.268189507071,,,0.0,0.0,
74616793.12353167,140437000.0,direct_partial,74616793.12353167,0.0,0.0,0.0,0.0,0.0,0.0,6,223,295.48703842435293,20.83,75439962.69554041,311.7978823688864,665.8498495068521,32.73333841390875,30766056.068393357,1550021.049958881,29216035.018434476,0.3872753110489219,0.3915477172821664,0.0,42132393.05403561,0.6934340278503608
173411329.25441748,140437000.0,charging,140437000.0,32974329.25441748,0.0,233.65674248663308,0.0,0.0,0.02951453589304839,7,223,582.7343139944613,25.06,142346582.7179627,724.6262265759237,665.9912130180332,61.76406638713741,58052029.56846005,3281068.3381618867,54770961.23029816,0.38477187287887465,0.3158441923361413,0.0,78608242.62791975,0.6967585001174526
214102549.8664209,140437000.0,charging,140437000.0,73665549.8664209,0.0,521.9955281719227,0.0,0.0,0.09545081313581757,8,223,712.7758799170493,29.36,142794051.56311375,894.660824509169,665.9917098143052,61.95822275485889,58234517.08683716,3732848.471179516,54501668.61565764,0.38168024521363464,0.254558708663962,0.0,77933441.58584867,0.6993360938079524
223445875.131732,140437000.0,charging,140437000.0,83008875.13173199,0.0,588.2025138740861,0.0,0.0,0.16975007804622846,9,223,771.1695635197646,31.92,142896797.23905984,933.703363193252,665.9918234477807,62.00280402002842,58276419.0061117,3836584.0846043276,54439834.921507366,0.38097309368265264,0.24363768133742675,0.0,77440248.97689024,0.702991475889409
224966777.0974966,140437000.0,charging,140437000.0,84529777.0974966,0.0,598.9796549713374,0.0,0.0,0.24541066604260794,10,223,815.5964308468866,33.72,142913522.1304755,940.0586887488679,665.9918419295442,62.01006093680148,58283239.780256435,3853470.117563424,54429769.66269301,0.3808580801262484,0.24194581246591854,0.0,77063057.0420179,0.7063017190327097
219151842.53611672,140437000.0,charging,140437000.0,78714842.53611672,0.0,557.7749148566331,0.0,0.0,0.31586644476134057,11,223,825.3000262252257,35.1,142849577.08252805,915.7600797299739,665.9917712440448,61.9823152325412,58257161.60020234,3788908.96972566,54468252.630476676,0.38129796211443384,0.24854115758346948,0.0,76732570.78162923,0.7098452726872156
216226389.28255615,140437000.0,charging,140437000.0,75789389.28255615,0.0,537.0450958434894,0.0,0.0,0.38370372002578135,12,223,817.8287812436515,36.01,142817406.77233803,903.5356180338147,665.9917356587655,61.96835656113278,58244041.8486584,3756428.7039545206,54487613.14470388,0.381519412627071,0.2519933543981147,0.0,76520143.43758857,0.7120688840467885
232185456.73250136,140437000.0,charging,140437000.0,91748456.73250136,0.0,650.1313601525383,0.0,0.0,0.4658255760450493,13,223,845.4780312646234,36.5,142992903.73150977,970.2230650169238,665.9919295909501,62.04450454888252,58315613.32208969,3933616.547104378,54381996.774985306,0.380312556468505,0.2342179288069635,0.0,76508986.02449305,0.710792282067048
250447810.71138638,140437000.0,charging,140437000.0,110010810.71138638,0.0,779.5387578867142,0.0,0.0,0.5642936296728448,14,223,858.2632849960625,36.6,143193729.22464594,1046.5351532121429,665.9921509300242,62.13164256690483,58397514.32205069,4136376.9604247063,54261137.361625984,0.37893515069015166,0.21665646510344622,0.0,76594959.90672588,0.708416551529016
252519431.10413295,140437000.0,charging,140437000.0,112082431.10413295,0.0,794.2183005364922,0.0,0.0,0.6646159413195596,15,223,818.1172209769102,36.46,143216510.19731796,1055.1917414209329,665.9921759988495,62.141527212406054,58406804.89772798,4159377.423977316,54247427.473750666,0.3787791463359269,0.21482476511433424,0.0,76637253.98355097,0.7078467018846221
227435729.8282187,140437000.0,charging,140437000.0,86998729.8282187,0.0,616.4747023447944,0.0,0.0,0.7424864300367968,16,223,725.5211752845889,35.9,142940672.44471547,950.3755919670693,665.9918719226785,62.02184143605289,58294312.2683693,3880882.0205812184,54413430.24778809,0.3806714304414185,0.23924750209162973,0.0,76609810.64079227,0.7102671288788525
204645567.79672608,140437000.0,charging,140437000.0,64208567.79672608,0.0,454.9831681293492,0.0,0.0,0.7999579881162936,17,223,658.5077342976938,35.12,142690056.03822887,855.1433531800312,665.9915946321569,61.913099181252065,58192105.45200664,3627850.96672686,54564254.485279776,0.38239703592702473,0.26662807835388014,0.0,76642580.47031285,0.7119313330846812
131275595.24071562,140437000.0,direct_plus_discharge,140437000.0,0.0,9161404.759284377,0.0,64.91789343582026,0.0,0.7917578331559795,18,223,459.082031740249,34.05,141996050.87944776,548.5555045900487,665.265312054441,61.611970907699465,57909075.067792594,2927159.183814134,54981915.88397846,0.38720735924309035,0.41882815905850573,0.0,76426441.22182491,0.719409604908797
0.0,140437000.0,discharging,140437000.0,0.0,140437000.0,0.0,995.1393307022093,0.0,0.6660560229620163,19,223,0.0,32.53,142209441.5168373,1.0,654.15,61.70456093158669,57996100.40661587,3142605.804459841,54853494.60215603,0.38572329668885935,,0.0,75755903.210842,0.7240821147559828
0.0,140437000.0,discharging,140437000.0,0.0,140437000.0,0.0,995.1393307022093,0.0,0.540354212768053,20,223,0.0,30.58,142209441.5168376,1.0,654.15,61.70456093158681,57996100.40661606,3142605.804459844,54853494.60215622,0.3857232966888599,,0.0,76179824.95808336,0.720052778177666
0.0,140437000.0,discharging,140437000.0,0.0,140437000.0,0.0,995.1393307022093,0.0,0.41465240257408964,21,223,0.0,29.88,142209441.5168375,1.0,654.15,61.70456093158677,57996100.40661596,3142605.804459843,54853494.60215612,0.3857232966888594,,0.0,76332001.99555452,0.718617266259448
0.0,140437000.0,discharging,140437000.0,0.0,140437000.0,0.0,995.1393307022093,0.0,0.2889505923801264,22,223,0.0,28.58,142209441.5168375,1.0,654.15,61.70456093158677,57996100.40661597,3142605.804459843,54853494.60215613,0.3857232966888595,,0.0,76614616.49371532,0.7159664449492579
