Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,day_of_year,hour,DNI(K),T_amb(K),Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,P_turbine,P_pumps,P_net,efficiency
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,0,0.0,20.46,0.0,1.0,567.279923475184,1389.1254120820101,1200996049.8002982,16240489.105177125,1184755560.695121,0.3470285766535211
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,1,0.0,20.06,0.0,1.0,567.279923475184,1389.1254120794017,1200996049.769093,16240489.104453402,1184755560.6646397,0.34702857664459275
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,2,0.0,19.55,0.0,1.0,567.279923475184,1389.1254120578037,1200996049.794956,16240489.105100613,1184755560.6898553,0.3470285766519787
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,3,0.0,19.17,0.0,1.0,567.279923475184,1389.1254120694755,1200996049.7992465,16240489.105107248,1184755560.6941392,0.3470285766532335
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,4,0.0,18.96,0.0,1.0,567.279923475184,1389.1254119708324,1200996049.800382,16240489.360083003,1184755560.4402988,0.3470285765788807
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,5,0.0,18.69,0.0,1.0,567.279923475184,1389.1254122067648,1200996049.8813338,16240489.36152332,1184755560.5198104,0.3470285766021706
101792718.12699291,140437000.0,direct_partial,101792718.12699291,0.0,0.0,0.0,0.0,0.0,0.0,184,6,406.26008671912933,19.59,102914732.99279927,425.35671427240675,665.9299913780974,1402.1515345805421,1234291816.2196565,17330416.700819284,1216961399.5188372,0.3460309651815857
174896902.55788833,140437000.0,charging,140437000.0,34459902.55788833,0.0,244.1835439914007,0.0,0.0,0.03084423713575588,184,7,604.8139605512625,21.65,142362919.11084253,730.8339258179363,665.9912312101335,1406.752056111309,1249444305.8202884,18127153.28683979,1231317152.5334487,0.3462293305097504
213803663.39572132,140437000.0,charging,140437000.0,73366663.39572132,0.0,519.8776127905921,0.0,0.0,0.09651298822509383,184,8,709.1098785336993,24.02,142790764.80046797,893.4118808768883,665.9917061765542,1406.8014005456844,1249609390.8186903,18554921.378297642,1231054469.4403927,0.3461138286860834
238202927.00342327,140437000.0,charging,140437000.0,97765927.00342327,0.0,692.771272269186,0.0,0.0,0.1840209384064647,184,9,789.2069121064475,25.51,143059076.00240016,995.3680010179254,665.9920025910111,1406.8323398319967,1249712927.504302,18823184.094258085,1230889743.410044,0.3460414114891167
