Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,hour,day_of_year,DNI,T_amb,Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,m_orc,Q_nuclear_condenser,Q_orc_condenser,T_orc_live,P_turbine,P_pumps,P_net,efficiency,solar_efficiency,ex_nuclear,ex_solar,efficiency_II,T_pinch
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,222,0.0,27.35,0.0,1.0,567.279923475184,1424.4964555833687,11085.246071716663,2516557357.0389886,2234241306.7425137,362.89907080586624,1204190005.0264978,24436575.03720215,1179753429.9892957,0.34556339484162146,,1633380620.0090048,0.0,0.722277107697526,9.856858091238735
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,223,0.0,26.49,0.0,1.0,567.279923475184,1424.496455764108,11085.246071626305,2516557357.0184755,2234241306.724302,362.89907080586624,1204190005.0448914,24436575.037384313,1179753430.007507,0.3455633948469558,,1638476568.9833553,0.0,0.7200306994560944,9.856858091238735
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,223,0.0,25.36,0.0,1.0,567.279923475184,1424.4964555833737,11085.246071700923,2516557357.035415,2234241306.7393413,362.89907080586624,1204190005.0296593,24436575.037189785,1179753429.9924695,0.3455633948425511,,1645172408.9147692,0.0,0.7171001796527142,9.856858091238735
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223,0.0,24.29,0.0,1.0,567.279923475184,1424.4964555833776,11085.24607167172,2516557357.0287857,2234241306.733455,362.89907080586624,1204190005.0355217,24436575.037166815,1179753429.998355,0.345563394844275,,1651512717.522391,0.0,0.7143471663773973,9.856858091238735
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,223,0.0,23.04,0.0,1.0,567.279923475184,1424.4964555833776,11085.246071788348,2516557357.0552626,2234241306.756962,362.89907080586624,1204190005.0121071,24436575.037258502,1179753429.9748487,0.3455633948373898,,1658919620.1013885,0.0,0.7111576809868254,9.856858091238735
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,223,0.0,22.04,0.0,1.0,567.279923475184,1424.4964555833774,11085.24607174341,2516557357.0450606,2234241306.7479043,362.89907080586624,1204190005.021128,24436575.03722316,1179753429.9839048,0.34556339484004245,,1664845142.1645865,0.0,0.7086265263386728,9.856858091238735
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,223,0.0,21.02,0.0,1.0,567.279923475184,1424.496455583377,11085.246071716656,2516557357.038987,2234241306.742512,362.89907080586624,1204190005.0264997,24436575.037202157,1179753429.9892976,0.345563394841622,,1670889174.6690485,0.0,0.7060632433763719,9.856858091238735
74616793.12353167,140437000.0,direct_partial,74616793.12353167,0.0,0.0,0.0,0.0,0.0,0.0,6,223,295.48703842435293,20.83,75439962.69554041,311.7978823688864,665.8498495068521,1424.4964555833776,11085.246071759158,2516557357.048636,2311939086.3151684,367.20801788716096,1201932188.1494834,25254481.341054697,1176677706.8084288,0.3372110480157001,-0.02992864882645233,1672015023.8610563,42132393.05403561,0.6864507073295166,9.856858091238735
173411329.25441748,140437000.0,charging,140437000.0,32974329.25441748,0.0,233.65674248663308,0.0,0.0,0.02951453589304839,7,223,582.7343139944613,25.06,142346582.7179627,724.6262265759237,665.9912130180332,1424.496455583377,11085.246071788348,2516557357.0552626,2372474609.212508,371.6079628209021,1208303285.2745445,26340894.486973148,1181962390.7875714,0.3323529817176166,0.028896239695423324,1646950065.5337286,78608242.62791975,0.6849738923321544,9.856858091238735
214102549.8664209,140437000.0,charging,140437000.0,73665549.8664209,0.0,521.9955281719227,0.0,0.0,0.09545081313581757,8,223,712.7758799170493,29.36,142794051.56311375,894.660824509169,665.9917098143052,1424.4964555833774,11085.246071687467,2516557357.0323606,2372879902.607491,371.63749571336734,1208345460.7246115,26788363.332103077,1181557097.3925085,0.33219722037975363,0.02910104712836848,1621470320.661977,77933441.58584867,0.6952774400296996,9.856858091238735
223445875.131732,140437000.0,charging,140437000.0,83008875.13173199,0.0,588.2025138740861,0.0,0.0,0.16975007804622846,9,223,771.1695635197646,31.92,142896797.23905984,933.703363193252,665.9918234477807,1424.4964555833776,11085.246071788355,2516557357.055264,2372972964.9746876,371.6442770983184,1208355144.0334415,26891109.008129157,1181464035.0253124,0.33216146050185946,0.02914788724040911,1606300984.1801906,77440248.97689024,0.7016897916136561,9.856858091238735
224966777.0974966,140437000.0,charging,140437000.0,84529777.0974966,0.0,598.9796549713374,0.0,0.0,0.24541066604260794,10,223,815.5964308468866,33.72,142913522.1304755,940.0586887488679,665.9918419295442,1424.4964555833774,11085.246071759162,2516557357.048637,2372988113.640592,371.6453809753543,1208356720.2589302,26907833.89952161,1181448886.3594086,0.33215563971646944,0.029155505345723635,1595635044.466434,77063057.0420179,0.7063132822916275,9.856858091238735
219151842.53611672,140437000.0,charging,140437000.0,78714842.53611672,0.0,557.7749148566331,0.0,0.0,0.31586644476134057,11,223,825.3000262252257,35.1,142849577.08252805,915.7600797299739,665.9917712440448,1424.496455583377,11085.246071716652,2516557357.038986,2372930195.059442,371.6411604812783,1208350693.792099,26843888.851538997,1181506804.94056,0.33217789488575444,0.029126368986375786,1587457824.0192208,76732570.78162923,0.7099589137347162,9.856858091238735
216226389.28255615,140437000.0,charging,140437000.0,75789389.28255615,0.0,537.0450958434894,0.0,0.0,0.38370372002578135,12,223,817.8287812436515,36.01,142817406.77233803,903.5356180338147,665.9917356587655,1424.4964555833776,11085.246071759162,2516557357.048637,2372901056.679218,371.6390371898814,1208347661.8621676,26811718.541382775,1181535943.3207848,0.3321890915938187,0.029111700426799433,1582065598.9417107,76520143.43758857,0.7123755577603303,9.856858091238735
232185456.73250136,140437000.0,charging,140437000.0,91748456.73250136,0.0,650.1313601525383,0.0,0.0,0.4658255760450493,13,223,845.4780312646234,36.5,142992903.73150977,970.2230650169238,665.9919295909501,1424.4964555833774,11085.246071788348,2516557357.0552626,2373060014.119955,371.65062034778197,1208364201.380623,26987215.50057856,1181376985.8800445,0.33212801314298535,0.02919163798476985,1579162093.1307435,76508986.02449305,0.7135336243735149,9.856858091238735
250447810.71138638,140437000.0,charging,140437000.0,110010810.71138638,0.0,779.5387578867142,0.0,0.0,0.5642936296728448,14,223,858.2632849960625,36.6,143193729.22464594,1046.5351532121429,665.9921509300242,1424.4964555833774,11085.246071687465,2516557357.03236,2373241914.067538,371.6638754840913,1208383126.9260972,27188040.993635625,1181195085.9324615,0.33205812667108353,0.029282864887862577,1578569540.9244237,76594959.90672588,0.7136421094938408,9.856858091238735
252519431.10413295,140437000.0,charging,140437000.0,112082431.10413295,0.0,794.2183005364922,0.0,0.0,0.6646159413195596,15,223,818.1172209769102,36.46,143216510.19731796,1055.1917414209329,665.9921759988495,1424.4964555833774,11085.246071788353,2516557357.0552635,2373262548.2837505,371.6653791187427,1208385273.682637,27210821.96638945,1181174451.7162476,0.3320501994551712,0.029293196548045186,1579399114.0132716,76637253.98355097,0.7132539324272339,9.856858091238735
227435729.8282187,140437000.0,charging,140437000.0,86998729.8282187,0.0,616.4747023447944,0.0,0.0,0.7424864300367968,16,223,725.5211752845889,35.9,142940672.44471547,950.3755919670693,665.9918719226785,1424.4964555833776,11085.246071759166,2516557357.0486374,2373012705.219044,371.64717295541243,1208359278.9947176,26934984.213782907,1181424294.7809348,0.3321461906669733,0.029167868199663008,1582717406.3686626,76609810.64079227,0.7119899454853593,9.856858091238735
204645567.79672608,140437000.0,charging,140437000.0,64208567.79672608,0.0,454.9831681293492,0.0,0.0,0.7999579881162936,17,223,658.5077342976938,35.12,142690056.03822887,855.1433531800312,665.9915946321569,1424.4964555833772,11085.246071716658,2516557357.0389876,2372785708.512072,371.630631905475,1208335659.29517,26684367.80723782,1181651291.4879322,0.33223341727003475,0.029053566238798217,1587339313.577957,76642580.47031285,0.7101347050196053,9.856858091238735
131275595.24071562,140437000.0,direct_plus_discharge,140437000.0,0.0,9161404.759284377,0.0,64.91789343582026,0.0,0.7917578331559795,18,223,459.082031740249,34.05,141996050.87944776,548.5555045900487,665.265312054441,1424.4964555833776,11085.246071759162,2516557357.048637,2372157120.087917,371.5848286625966,1208270242.5605779,25990362.648494296,1182279879.9120836,0.33247502612374646,0.028734871391338814,1593679622.1855786,76426441.22182491,0.7079070639980545,9.856858091238735
0.0,140437000.0,discharging,140437000.0,0.0,140437000.0,0.0,995.1393307022093,0.0,0.6660560229620163,19,223,0.0,32.53,142209441.5168373,1.0,654.15,1424.496455583377,11085.246071788348,2516557357.0552626,2372350395.151729,371.5989117760513,1208290358.1341755,26203753.28590654,1182086604.848269,0.332400727316013,0.02883320396971141,1602686415.7216399,75755903.210842,0.7042759775028172,9.856858091238735
0.0,140437000.0,discharging,140437000.0,0.0,140437000.0,0.0,995.1393307022093,0.0,0.540354212768053,20,223,0.0,30.58,142209441.5168376,1.0,654.15,1424.4964555833776,11085.246071687465,2516557357.03236,2372350395.131314,371.59891177613673,1208290358.1545134,26203753.285827227,1182086604.8686862,0.33240072732175424,0.028833204113282784,1614241183.7448757,76179824.95808336,0.6992853252431404,9.856858091238735
0.0,140437000.0,discharging,140437000.0,0.0,140437000.0,0.0,995.1393307022093,0.0,0.41465240257408964,21,223,0.0,29.88,142209441.5168375,1.0,654.15,1424.4964555833774,11085.246071788351,2516557357.055263,2372350395.1517296,371.5989117760513,1208290358.1341765,26203753.285906542,1182086604.84827,0.3324007273160132,0.02883320396971807,1618389049.1891143,76332001.99555452,0.6975110175340953,9.856858091238735
0.0,140437000.0,discharging,140437000.0,0.0,140437000.0,0.0,995.1393307022093,0.0,0.2889505923801264,22,223,0.0,28.58,142209441.5168375,1.0,654.15,1424.4964555833778,11085.246071759162,2516557357.048637,2372350395.1458235,371.59891177607614,1208290358.1400611,26203753.28588358,1182086604.8541775,0.3324007273176744,0.028833204011259165,1626092227.8712716,76614616.49371532,0.6942396506869206,9.856858091238735
