Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,hour,day_of_year,DNI,T_amb,Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,m_orc,Q_nuclear_condenser,Q_orc_condenser,T_orc_live,P_turbine,P_pumps,P_net,efficiency,solar_efficiency,ex_nuclear,ex_solar,efficiency_II
0.0,121712066.66666667,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,222,0.0,27.35,0.0,1.0,567.279923475184,1445.0192141534708,11210.61682941886,2545018854.4754777,2259509895.6131325,362.89907080586624,1179588764.8631504,25103923.744471643,1154484841.1186788,0.33816193354384266,,1633380620.0090048,0.0,0.7068069909586132
0.0,121712066.66666667,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,223,0.0,26.49,0.0,1.0,567.279923475184,1445.01921434638,11210.616829524635,2545018854.4994907,2259509895.634452,362.89907080586624,1179588764.924609,25103923.827249113,1154484841.09736,0.3381619335375981,,1638476568.9833553,0.0,0.7046086974644359
0.0,121712066.66666667,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,223,0.0,25.36,0.0,1.0,567.279923475184,1445.0192143110876,11210.61682931321,2545018854.4514933,2259509895.591839,362.89907080586624,1179588764.8841846,25103923.744212776,1154484841.1399717,0.3381619335500796,,1645172408.9147692,0.0,0.7017409451338432
0.0,121712066.66666667,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223,0.0,24.29,0.0,1.0,567.279923475184,1445.0192141986447,11210.616829708228,2545018854.5411696,2259509895.671455,362.89907080586624,1179588764.8880131,25103923.827656988,1154484841.0603561,0.3381619335267593,,1651512717.522391,0.0,0.6990468973150391
0.0,121712066.66666667,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,223,0.0,23.04,0.0,1.0,567.279923475184,1445.0192143463692,11210.616829610619,2545018854.5190105,2259509895.651782,362.89907080586624,1179588764.90733,25103923.827300828,1154484841.0800292,0.3381619335325218,,1658919620.1013885,0.0,0.6959257260514349
0.0,121712066.66666667,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,223,0.0,22.04,0.0,1.0,567.279923475184,1445.0192141603186,11210.616829439874,2545018854.4802485,2259509895.617368,362.89907080586624,1179588764.858222,25103923.74378052,1154484841.1144414,0.3381619335426015,,1664845142.1645865,0.0,0.6934487850403981
0.0,121712066.66666667,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,223,0.0,21.02,0.0,1.0,567.279923475184,1445.0192143042304,11210.616829206077,2545018854.427172,2259509895.570246,362.89907080586624,1179588764.9063792,25103923.744813975,1154484841.1615653,0.3381619335564046,,1670889174.6690485,0.0,0.6909404038662427
74616793.12353167,121712066.66666667,direct_partial,74616793.12353167,0.0,0.0,0.0,0.0,0.0,0.0,6,223,295.48703842435293,20.83,75439962.69554041,311.7978823688864,665.8498495068521,1445.0192143476281,11210.616829609608,2545018854.518781,2337315311.1523776,367.1527563207378,1177223312.1023538,25921830.131134674,1151301481.971219,0.3299387564421243,19.131186291946193,1672015023.8610563,42132393.05403561,0.6716467152184539
173411329.25441748,121712066.66666667,charging,121712066.66666667,51699262.58775081,0.0,366.34198658026094,0.0,0.0,0.046274777252243486,7,223,582.7343139944613,25.06,123621649.38462515,724.6262265759237,665.9672056477871,1445.0192141689301,11210.616829346609,2545018854.4590755,2380894281.846386,370.282244566279,1181826028.0138147,27008243.193454076,1154817784.8203607,0.3264390314383233,11.74045975114313,1646950065.5337286,68265752.35193233,0.6732784135840699
214102549.8664209,121712066.66666667,charging,121712066.66666667,92390483.19975422,0.0,654.6807722655506,0.0,0.0,0.12897129585420777,8,223,712.7758799170493,29.36,124069118.22978008,894.660824509169,665.9678637126451,1445.019214197386,11210.616829623137,2545018854.5218525,2381299319.803682,370.3113874627393,1181868458.985468,27455712.12248288,1154412746.8629851,0.32628326589633677,11.69519387794996,1621470320.661977,67711820.82738571,0.6834151975139472
223445875.131732,121712066.66666667,charging,121712066.66666667,101733808.46506532,0.0,720.887757967714,0.0,0.0,0.22003080212381373,9,223,771.1695635197646,31.92,124171863.90572618,933.703363193252,665.9680141460573,1445.0192143476293,11210.616829609644,2545018854.5187893,2381392323.4875307,370.31807930939215,1181878200.9773314,27558457.798196983,1154319743.1791344,0.32624750509007244,11.684846185206018,1606300984.1801906,67290587.75270668,0.6897260732772242
224966777.0974966,121712066.66666667,charging,121712066.66666667,103254710.43082993,0.0,731.6648990649652,0.0,0.0,0.31245163147938826,10,223,815.5964308468866,33.72,124188588.79714221,940.0586887488679,665.9680386100215,1445.019214342697,11210.616829613773,2545018854.5197268,2381407462.6118407,370.3191686117575,1181879786.7444189,27575182.689594664,1154304604.054824,0.32624168415150717,11.683163412723072,1595635044.466434,66963992.36798025,0.694277200023295
219151842.53611672,121712066.66666667,charging,121712066.66666667,97439775.86945005,0.0,690.460158950261,0.0,0.0,0.399667651557316,11,223,825.3000262252257,35.1,124124643.74919471,915.7600797299739,665.9679450403034,1445.0192143042425,11210.616829206132,2545018854.4271846,2381349580.4638996,370.31500384240695,1181873723.7619348,27511237.55916649,1154362486.2027683,0.3262639399214442,11.689599681747094,1587457824.0192208,66672296.799712405,0.6978667951655835
216226389.28255615,121712066.66666667,charging,121712066.66666667,94514322.61588947,0.0,669.7303399371173,0.0,0.0,0.48426516818095183,12,223,817.8287812436515,36.01,124092473.43900473,903.5356180338147,665.9678979296324,1445.0192141639989,11210.616829436747,2545018854.4795384,2381320460.48875,370.31290858605144,1181870673.4258494,27479067.24793013,1154391606.1779194,0.3262751369117997,11.69284023074463,1582065598.9417107,66485448.824649565,0.700246199680633
232185456.73250136,121712066.66666667,charging,121712066.66666667,110473390.06583469,0.0,782.8166042461661,0.0,0.0,0.5831472655594149,13,223,845.4780312646234,36.5,124267970.39817637,970.2230650169238,665.9681546340606,1445.0192143061374,11210.616829231161,2545018854.4328666,2381479317.689764,370.32433881006955,1181887313.1843119,27654564.207407072,1154232748.9769049,0.3262140568869955,11.675182620442996,1579162093.1307435,66488064.908642486,0.7013840355668596
250447810.71138638,121712066.66666667,charging,121712066.66666667,128735744.04471971,0.0,912.2240019803421,0.0,0.0,0.6983755605464055,14,223,858.2632849960625,36.6,124468795.89131266,1046.5351532121429,665.9684475007347,1445.0192143042368,11210.616829292168,2545018854.4467163,2381661103.030695,370.33741895417404,1181906353.3373249,27855389.70135216,1154050963.6359727,0.3261441686234445,11.655037655883167,1578569540.9244237,66576849.700736456,0.701488311442868
252519431.10413295,121712066.66666667,charging,121712066.66666667,130807364.43746628,0.0,926.90354463012,0.0,0.0,0.8154581135523153,15,223,818.1172209769102,36.46,124491576.86398438,1055.1917414209329,665.9684806629882,1445.0192141603252,11210.616829439967,2545018854.4802694,2381681724.2529674,370.338902739241,1181908513.0866346,27878170.672937512,1154030342.4136972,0.326136241204922,11.652756581615428,1579399114.0132716,66615208.48918255,0.7011058935740073
227435729.8282187,121712066.66666667,charging,121712066.66666667,105723663.16155203,0.0,749.1599464384223,0.0,0.0,0.9100888436287475,16,223,725.5211752845889,35.9,124215739.1114035,950.3755919670693,665.9680783095392,1445.01921430246,11210.616829234326,2545018854.433585,2381432038.613451,370.3209369326008,1181882360.97386,27602332.92064413,1154280028.053216,0.326232234878675,11.680432653029943,1582717406.3686626,66572024.01048801,0.6998650490277268
204645567.79672608,121712066.66666667,charging,121712066.66666667,82933501.13005939,0.0,587.668412222977,0.0,1.4901161193847656e-08,0.9843206430674394,17,223,658.5077342976938,35.12,123965122.70489542,855.143353180031,665.9677111958156,1445.0192141534778,11210.616829418906,2545018854.475488,2381205185.0384946,370.30461428662323,1181858598.1426964,27351716.514520988,1154506881.6281755,0.3263194637559105,11.705684907656991,1587339313.577957,66582868.67996752,0.6980418389770006
131275595.24071562,121712066.66666667,charging,121712066.66666667,9563528.574048951,0.0,67.76735065780761,0.0,0.0,0.9928807294663204,18,223,459.082031740249,34.05,123158295.66950569,548.5555045900487,665.9665191917795,1445.0192143024633,11210.616829234337,2545018854.433588,2380474871.321107,370.25206855592035,1181782084.8243093,26544889.478749447,1155237195.3455598,0.32660036639013323,11.787679087210163,1593679622.1855786,66347288.90059489,0.6959147394723111
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.8839391606315522,19,223,0.0,32.53,123248533.53246994,1.0,654.15,1445.0192143061454,11210.616829317225,2545018854.452405,2380556550.8075643,370.2579452010136,1181790643.2008789,26635127.341778696,1155155515.8591,0.32656894332089953,11.778455317736999,1602686415.7216399,65655303.03456364,0.6923974284598611
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.7749975917967841,20,223,0.0,30.58,123248533.53247185,1.0,654.15,1445.0192141584077,11210.616829414792,2545018854.4745545,2380556550.8273153,370.25794520094394,1181790643.1814735,26635127.34212226,1155155515.8393512,0.3265689433153162,11.778455317596684,1614241183.7448757,66022702.928149186,0.6874845820358583
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.6660560229620158,21,223,0.0,29.88,123248533.53247185,1.0,654.15,1445.0192142054716,11210.616829643051,2545018854.5263734,2380556550.8735156,370.25794520078045,1181790643.217622,26635127.4244702,1155155515.7931519,0.32656894330225544,11.77845531726888,1618389049.1891143,66154590.06943593,0.6857379582648225
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.5571144541272477,22,223,0.0,28.58,123248533.53247185,1.0,654.15,1445.0192143463823,11210.6168296107,2545018854.519029,2380556550.866967,370.25794520080365,1181790643.2246406,26635127.424940772,1155155515.7996998,0.3265689433041066,11.778455317315347,1626092227.8712716,66399523.33182563,0.6825176636628005
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.44817288529247945,23,223,0.0,27.37,123248533.53247185,1.0,654.15,1445.0192143395416,11210.616829503677,2545018854.494733,2380556550.8453045,370.2579452008803,1181790643.2469347,26635127.42557288,1155155515.8213618,0.3265689433102305,11.778455317469051,1633262109.5677412,66627499.67604987,0.6795473715115192
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.3392313164577113,0,224,0.0,26.4,123248533.53247185,1.0,654.15,1445.0192143061395,11210.616829317196,2545018854.4523983,2380556550.807566,370.25794520101374,1181790643.20087,26635127.341769636,1155155515.8591003,0.3265689433208994,11.778455317736768,1639009865.9690435,66810257.57183295,0.6771848332175098
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.2302897476229431,1,224,0.0,25.51,123248533.53247185,1.0,654.15,1445.0192141603204,11210.616829439892,2545018854.4802527,2380556550.8323965,370.257945200926,1181790643.1756716,26635127.34140258,1155155515.834269,0.3265689433138795,11.778455317560613,1644283580.6052895,66977942.651468955,0.6750315484426099
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.12134817878817493,2,224,0.0,24.82,123248533.53247185,1.0,654.15,1445.0192143395411,11210.616829503679,2545018854.4947333,2380556550.8453045,370.2579452008803,1181790643.2469344,26635127.42557244,1155155515.821362,0.32656894331023056,11.778455317469055,1648372190.828896,67107945.69073733,0.67337154842547
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.012406609953406741,3,224,0.0,24.16,123248533.53247185,1.0,654.15,1445.0192143061345,11210.616829317196,2545018854.4523983,2380556550.807566,370.25794520101374,1181790643.2008696,26635127.341770735,1155155515.859099,0.32656894332089903,11.778455317736755,1652283035.3906069,67232296.42395055,0.6717913440411694
0.0,121712066.66666667,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.012406609953406741,4,224,0.0,23.78,0.0,1.0,567.279923475184,1445.0192142054789,11210.616829643108,2545018854.5263863,2259509896.412807,362.89907080586624,1179588764.1458688,25103923.826871756,1154484840.318997,0.3381619333096066,,1654534733.7746222,0.0,0.6977700840919662
0.0,121712066.66666667,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.012406609953406741,5,224,0.0,23.32,0.0,1.0,567.279923475184,1445.0192143358447,11210.616829592753,2545018854.5149546,2259509895.648181,362.89907080586624,1179588764.9116244,25103923.827996626,1154484841.0836277,0.33816193353357576,,1657260473.923693,0.0,0.6966224436345212
86630450.47318651,121712066.66666667,direct_plus_discharge,100491405.05560713,0.0,13860954.582420621,0.0,98.21899546447003,0.0,0.0,6,224,331.38675910712817,22.73,101618731.49142171,361.998819240113,664.296700658088,1445.0192142005496,11210.616829733266,2545018854.5468535,2360984853.988656,368.85096528689803,1179732538.0615237,26225986.994544275,1153506551.0669794,0.32810911511375135,14.24904891074717,1660756531.9409797,56357404.370730124,0.6717705369887476
178781173.3308209,121712066.66666667,charging,121712066.66666667,57069106.66415422,0.0,404.3928068068915,0.0,0.0,0.05108119664929155,7,224,598.8100526674673,24.17,123680699.90927188,747.0649557357497,665.9672927619831,1445.0192143426862,11210.616829527671,2545018854.5001802,2380947732.654039,370.28609034967405,1181831627.8142686,27067293.80163786,1154764334.0126307,0.32641847356157555,11.734467455191105,1652223780.1699748,68463655.32361938,0.6711063904998972
220477638.19004697,121712066.66666667,charging,121712066.66666667,98765571.5233803,0.0,699.854772903137,0.0,0.0,0.1394839048054773,8,224,732.7396056931765,28.69,124139223.11646996,921.30012319801,665.9679663825157,1445.0192143005609,11210.616829295273,2545018854.4474216,2381362777.4888167,370.31595340061773,1181875106.1043532,27525816.926504668,1154349289.1778486,0.32625886557428135,11.688131639457637,1625440420.4443197,67874980.6950059,0.6817095553499126
221377451.8697555,121712066.66666667,charging,121712066.66666667,99665385.20308883,0.0,706.2308702491487,0.0,0.0,0.22869201473168552,9,224,766.0042253849584,30.95,124149118.09091584,925.0601346929453,665.9679808645631,1445.019214204236,11210.616829644185,2545018854.526631,2381371734.3333006,370.3165978636491,1181876044.3163028,27535711.98293743,1154340332.3333654,0.32625542163587906,11.68713547934928,1612048740.5814924,67459085.09197888,0.6873086952545058
222859110.42379528,121712066.66666667,charging,121712066.66666667,101147043.75712861,0.0,716.7299317628264,0.0,0.0,0.31922632190172673,10,224,811.274459186228,32.45,124165411.43459582,931.2514755453793,665.96800470609,1445.0192142042397,11210.616829730243,2545018854.546168,2381386482.8329654,370.3176590564386,1181877589.1603892,27552005.326690957,1154325583.8336983,0.32624975081808333,11.685495520614436,1603160457.4866955,67188275.19640878,0.6910686141447177
216645818.5925656,121712066.66666667,charging,121712066.66666667,94933751.92589892,0.0,672.7024242371215,0.0,0.0,0.4041992597001,11,224,820.2450952299513,33.79,124097085.7741995,905.2882686797341,665.9679046855006,1445.0192143395295,11210.616829589642,2545018854.514249,2381324635.525862,370.3132089874564,1181871110.8081503,27483679.6673471,1154387431.140803,0.3262735315495737,11.692375521985618,1595220257.92201,66901597.463812016,0.6945263534079693
218237615.91327867,121712066.66666667,charging,121712066.66666667,96525549.246612,0.0,683.9819312071363,0.0,0.0,0.4905969773262646,12,224,829.3091745931756,34.72,124114590.28004067,911.9398415091556,665.9679303204754,1445.019214346386,11210.616829524675,2545018854.4995003,2381340480.2946205,370.31434905775876,1181872770.5444918,27501184.1724448,1154371586.372047,0.32626743903189376,11.690612197451406,1589709522.4032362,66737714.95343411,0.6968960799585582
229540023.64547616,121712066.66666667,charging,121712066.66666667,107827956.97880949,0.0,764.0710136137848,0.0,0.0,0.587111210624848,13,224,840.8486964524756,35.13,124238879.38368417,959.1687111650036,665.9681121318539,1445.019214311079,11210.616829313109,2545018854.4514704,2381452984.891346,370.32244408000133,1181884554.9683344,27625473.19301305,1154259081.7753215,0.3262241813295485,11.678106161846642,1587280058.357325,66728075.12941211,0.6978557471432029
242675248.11033934,121712066.66666667,charging,121712066.66666667,120963181.44367267,0.0,857.1474712608951,0.0,0.0,0.69538247015254,14,224,836.65864838493,35.39,124383323.40955383,1014.056290771973,665.9683229703844,1445.0192141973853,11210.61682962311,2545018854.5218463,2381583734.079199,370.33185193598916,1181898249.8897164,27769917.302252017,1154128332.5874643,0.32617391251871397,11.663603518740452,1585739422.6208935,66757113.15136657,0.6984149785512902
254511406.69166324,121712066.66666667,charging,121712066.66666667,132799340.02499656,0.0,941.018722631288,0.0,0.0,0.8142479930112289,15,224,826.7394655120816,35.31,124513482.007219,1063.5155214163274,665.9685125388739,1445.0192143476243,11210.616829609604,2545018854.51878,2381701552.6982865,370.3403294825292,1181910589.8680577,27900075.89967735,1154010513.9683805,0.32612861865196824,11.650563991653652,1586213464.3859494,66841943.58338872,0.6981075821203119
234344725.74789625,121712066.66666667,charging,121712066.66666667,112632659.08122958,0.0,798.1172267515321,0.0,0.0,0.9150628006008961,16,224,747.0282654231308,34.82,124291715.21581234,979.2459066358375,665.9681893107108,1445.0192143426968,11210.616829613795,2545018854.5197315,2381500811.2908726,370.32588534035085,1181889564.4840639,27678309.108269628,1154211255.3757942,0.32620579315501547,11.672797365890093,1589116970.1969163,66814315.92046121,0.6970163949749665
198434936.5574374,121712066.66666667,charging,121712066.66666667,76722869.89077072,0.0,543.6597577038406,0.0,0.0,0.9837356121003286,17,224,640.3901844724843,33.99,123896826.30219524,829.1912640118682,665.9676108952549,1445.019214197392,11210.616829623197,2545018854.521866,2381143364.6732764,370.3001662162243,1181852122.1883051,27283420.19492577,1154568701.9933794,0.3263432368659922,11.712584200965047,1594035153.5093706,66756402.94241502,0.6951918183279236
125339522.99107027,121712066.66666667,charging,121712066.66666667,3627456.324403599,0.0,25.704226513087672,0.0,0.0,0.9869824617651396,18,224,440.65228945622806,32.82,123093018.50763518,523.7507028885879,665.9664220694665,1445.0192143513102,11210.616829606546,2545018854.5180864,2380415785.434446,370.2478174844225,1181775893.6323352,26479612.40011333,1155296281.2322218,0.3266230984560487,11.794359896098165,1600968014.3233123,66539460.212991074,0.6928282474736637
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.8780408929303715,19,224,0.0,31.04,123248533.53247185,1.0,654.15,1445.0192141689324,11210.616829346582,2545018854.4590693,2380556550.813506,370.2579452009928,1181790643.1945095,26635127.341349788,1155155515.8531597,0.32656894331922,11.778455317694686,1611515443.5958045,65936034.235303596,0.6886372161099642
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.7690993240956032,20,224,0.0,29.59,123248533.53247185,1.0,654.15,1445.0192143042436,11210.616829292212,2545018854.4467263,2380556550.802505,370.2579452010316,1181790643.2066853,26635127.34252353,1155155515.8641617,0.32656894332233033,11.778455317772714,1620107450.587442,66209229.02796902,0.6850169543051734
0.0,121712066.66666667,discharging,121712066.66666667,0.0,121712066.66666667,0.0,862.4540866085814,0.0,0.6601577552608351,21,224,0.0,27.89,123248533.53247185,1.0,654.15,1445.0192143073962,11210.616829316208,2545018854.4521737,2380556550.807359,370.2579452010144,1181790643.2010982,26635127.341791168,1155155515.859307,0.32656894332095787,11.7784553177383,1630180838.0948784,66529526.371094,0.680820686931375
