Latitude (decimal degrees):	37.320
Longitude (decimal degrees):	-3.071
Elevation (m):	1125
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0009,0.0,0.0,0.0,0.0,4.09,1.59,0.0
20230101:0109,0.0,0.0,0.0,0.0,3.83,1.59,0.0
20230101:0209,0.0,0.0,0.0,0.0,3.52,1.66,0.0
20230101:0309,0.0,0.0,0.0,0.0,3.03,1.72,0.0
20230101:0409,0.0,0.0,0.0,0.0,2.45,1.79,0.0
20230101:0509,0.0,0.0,0.0,0.0,1.86,1.86,0.0
20230101:0609,0.0,0.0,0.0,0.0,1.38,1.93,0.0
20230101:0709,0.0,0.0,0.0,0.0,0.38,1.93,0.0
20230101:0809,53.0,32.0,0.0,6.49,0.41,1.86,0.0
20230101:0909,41.0,126.0,0.0,15.52,4.36,1.24,0.0
20230101:1009,121.0,178.0,0.0,22.81,10.72,0.97,0.0
20230101:1109,257.01,169.0,0.0,27.72,13.45,0.9,0.0
20230101:1209,366.01,128.0,0.0,29.66,14.75,0.76,0.0
20230101:1309,319.01,140.0,0.0,28.33,15.47,0.55,0.0
20230101:1409,277.01,112.0,0.0,23.95,15.68,0.41,0.0
20230101:1509,136.01,108.0,0.0,17.06,15.46,0.41,0.0
20230101:1609,77.01,37.0,0.0,8.32,14.58,0.55,0.0
20230101:1709,0.0,0.0,0.0,0.0,13.37,0.41,0.0
20230101:1809,0.0,0.0,0.0,0.0,11.86,0.76,0.0
20230101:1909,0.0,0.0,0.0,0.0,7.91,1.45,0.0
20230101:2009,0.0,0.0,0.0,0.0,6.23,1.59,0.0
20230101:2109,0.0,0.0,0.0,0.0,5.31,1.59,0.0
20230101:2209,0.0,0.0,0.0,0.0,4.83,1.52,0.0
20230101:2309,0.0,0.0,0.0,0.0,4.85,1.52,0.0
20230102:0009,0.0,0.0,0.0,0.0,5.65,1.38,0.0
20230102:0109,0.0,0.0,0.0,0.0,6.52,1.24,0.0
20230102:0209,0.0,0.0,0.0,0.0,6.97,1.24,0.0
20230102:0309,0.0,0.0,0.0,0.0,7.09,1.24,0.0
20230102:0409,0.0,0.0,0.0,0.0,7.36,1.17,0.0
20230102:0509,0.0,0.0,0.0,0.0,7.67,1.1,0.0
20230102:0609,0.0,0.0,0.0,0.0,6.48,1.24,0.0
20230102:0709,0.0,0.0,0.0,0.0,5.28,1.38,0.0
20230102:0809,39.0,37.0,0.0,6.48,4.87,1.31,0.0
20230102:0909,34.0,124.0,0.0,15.53,6.7,0.83,0.0
20230102:1009,142.01,167.0,0.0,22.84,10.73,0.48,0.0
20230102:1109,30.0,223.0,0.0,27.78,12.27,0.62,0.0
20230102:1209,113.0,245.0,0.0,29.74,13.16,0.97,0.0
20230102:1309,38.0,231.0,0.0,28.44,13.67,1.17,0.0
20230102:1409,118.0,188.0,0.0,24.07,13.93,1.79,0.0
20230102:1509,206.01,67.0,0.0,17.19,13.33,1.93,0.0
20230102:1609,90.01,31.0,0.0,8.45,11.85,1.31,0.0
20230102:1709,0.0,0.0,0.0,0.0,10.36,0.9,0.0
20230102:1809,0.0,0.0,0.0,0.0,8.96,0.48,0.0
20230102:1909,0.0,0.0,0.0,0.0,8.76,0.62,0.0
20230102:2009,0.0,0.0,0.0,0.0,8.24,0.41,0.0
20230102:2109,0.0,0.0,0.0,0.0,7.54,0.76,0.0
20230102:2209,0.0,0.0,0.0,0.0,6.67,0.83,0.0
20230102:2309,0.0,0.0,0.0,0.0,5.41,1.1,0.0
20230103:0009,0.0,0.0,0.0,0.0,4.57,1.17,0.0
20230103:0109,0.0,0.0,0.0,0.0,4.14,1.17,0.0
20230103:0209,0.0,0.0,0.0,0.0,3.86,1.24,0.0
20230103:0309,0.0,0.0,0.0,0.0,3.26,1.31,0.0
20230103:0409,0.0,0.0,0.0,0.0,3.13,1.31,0.0
20230103:0509,0.0,0.0,0.0,0.0,2.95,1.31,0.0
20230103:0609,0.0,0.0,0.0,0.0,2.79,1.24,0.0
20230103:0709,0.0,0.0,0.0,0.0,2.49,1.31,0.0
20230103:0809,25.0,42.0,0.0,6.48,2.56,1.24,0.0
20230103:0909,129.01,93.0,0.0,15.54,6.12,0.55,0.0
20230103:1009,294.01,86.0,0.0,22.87,9.49,0.48,0.0
20230103:1109,346.01,114.0,0.0,27.84,11.05,0.34,0.0
20230103:1209,397.01,106.0,0.0,29.83,12.23,0.14,0.0
20230103:1309,328.01,133.0,0.0,28.55,12.98,0.55,0.0
20230103:1409,25.0,192.0,0.0,24.19,13.32,1.03,0.0
20230103:1509,101.0,124.0,0.0,17.32,12.99,1.38,0.0
20230103:1609,33.0,58.0,0.0,8.59,12.17,1.24,0.0
20230103:1709,0.0,0.0,0.0,0.0,10.81,0.9,0.0
20230103:1809,0.0,0.0,0.0,0.0,9.73,0.34,0.0
20230103:1909,0.0,0.0,0.0,0.0,9.27,0.21,0.0
20230103:2009,0.0,0.0,0.0,0.0,8.51,0.55,0.0
20230103:2109,0.0,0.0,0.0,0.0,7.77,0.76,0.0
20230103:2209,0.0,0.0,0.0,0.0,7.02,0.9,0.0
20230103:2309,0.0,0.0,0.0,0.0,5.81,1.03,0.0
20230104:0009,0.0,0.0,0.0,0.0,4.7,1.1,0.0
20230104:0109,0.0,0.0,0.0,0.0,2.86,1.24,0.0
20230104:0209,0.0,0.0,0.0,0.0,1.62,1.31,0.0
20230104:0309,0.0,0.0,0.0,0.0,1.29,1.24,0.0
20230104:0409,0.0,0.0,0.0,0.0,1.32,1.1,0.0
20230104:0509,0.0,0.0,0.0,0.0,1.31,1.1,0.0
20230104:0609,0.0,0.0,0.0,0.0,1.23,1.1,0.0
20230104:0709,0.0,0.0,0.0,0.0,2.32,1.24,0.0
20230104:0809,44.0,36.0,0.0,6.48,2.38,1.17,0.0
20230104:0909,97.0,111.0,0.0,15.56,3.86,0.97,0.0
20230104:1009,327.01,70.0,0.0,22.92,6.8,0.69,0.0
20230104:1109,392.01,91.0,0.0,27.91,9.43,0.83,0.0
20230104:1209,400.01,111.0,0.0,29.93,11.11,0.83,0.0
20230104:1309,396.01,97.0,0.0,28.67,12.07,0.76,0.0
20230104:1409,331.01,84.0,0.0,24.33,12.48,0.76,0.0
20230104:1509,201.01,77.0,0.0,17.46,12.53,0.69,0.0
20230104:1609,84.01,38.0,0.0,8.73,12.02,0.69,0.0
20230104:1709,0.0,0.0,0.0,0.0,10.62,0.69,0.0
20230104:1809,0.0,0.0,0.0,0.0,9.28,0.28,0.0
20230104:1909,0.0,0.0,0.0,0.0,8.34,0.62,0.0
20230104:2009,0.0,0.0,0.0,0.0,6.63,0.9,0.0
20230104:2109,0.0,0.0,0.0,0.0,5.31,1.03,0.0
20230104:2209,0.0,0.0,0.0,0.0,4.12,1.24,0.0
20230104:2309,0.0,0.0,0.0,0.0,2.99,1.38,0.0
20230105:0009,0.0,0.0,0.0,0.0,2.27,1.38,0.0
20230105:0109,0.0,0.0,0.0,0.0,2.03,1.31,0.0
20230105:0209,0.0,0.0,0.0,0.0,1.81,1.24,0.0
20230105:0309,0.0,0.0,0.0,0.0,1.86,1.17,0.0
20230105:0409,0.0,0.0,0.0,0.0,1.72,1.1,0.0
20230105:0509,0.0,0.0,0.0,0.0,1.87,1.03,0.0
20230105:0609,0.0,0.0,0.0,0.0,2.13,0.97,0.0
20230105:0709,0.0,0.0,0.0,0.0,1.1,1.17,0.0
20230105:0809,45.0,36.0,0.0,6.49,1.36,1.03,0.0
20230105:0909,98.0,111.0,0.0,15.59,4.68,0.55,0.0
20230105:1009,324.01,73.0,0.0,22.97,7.77,0.41,0.0
20230105:1109,387.01,97.0,0.0,27.99,9.72,0.14,0.0
20230105:1209,396.01,116.0,0.0,30.03,11.02,0.21,0.0
20230105:1309,400.01,98.0,0.0,28.8,11.89,0.62,0.0
20230105:1409,342.01,80.0,0.0,24.47,12.3,1.1,0.0
20230105:1509,217.01,70.0,0.0,17.61,12.16,1.31,0.0
20230105:1609,89.01,37.0,0.0,8.88,11.53,1.24,0.0
20230105:1709,0.0,0.0,0.0,0.0,10.12,0.97,0.0
20230105:1809,0.0,0.0,0.0,0.0,8.31,0.76,0.0
20230105:1909,0.0,0.0,0.0,0.0,7.45,0.83,0.0
20230105:2009,0.0,0.0,0.0,0.0,6.35,1.03,0.0
20230105:2109,0.0,0.0,0.0,0.0,5.45,1.17,0.0
20230105:2209,0.0,0.0,0.0,0.0,4.68,1.24,0.0
20230105:2309,0.0,0.0,0.0,0.0,4.1,1.31,0.0
20230106:0009,0.0,0.0,0.0,0.0,3.7,1.31,0.0
20230106:0109,0.0,0.0,0.0,0.0,3.49,1.31,0.0
20230106:0209,0.0,0.0,0.0,0.0,3.24,1.31,0.0
20230106:0309,0.0,0.0,0.0,0.0,3.31,1.24,0.0
20230106:0409,0.0,0.0,0.0,0.0,3.25,1.24,0.0
20230106:0509,0.0,0.0,0.0,0.0,2.67,1.24,0.0
20230106:0609,0.0,0.0,0.0,0.0,2.69,1.24,0.0
20230106:0709,0.0,0.0,0.0,0.0,3.17,1.24,0.0
20230106:0809,54.0,31.0,0.0,6.5,3.29,1.24,0.0
20230106:0909,97.0,111.0,0.0,15.62,5.68,0.69,0.0
20230106:1009,304.01,84.0,0.0,23.03,7.98,0.48,0.0
20230106:1109,400.01,87.0,0.0,28.08,9.79,0.34,0.0
20230106:1209,402.01,111.0,0.0,30.15,11.2,0.55,0.0
20230106:1309,398.01,98.0,0.0,28.93,12.06,0.9,0.0
20230106:1409,334.01,85.0,0.0,24.61,12.41,1.31,0.0
20230106:1509,208.01,76.0,0.0,17.76,12.23,1.59,0.0
20230106:1609,84.01,42.0,0.0,9.03,11.41,1.59,0.0
20230106:1709,0.0,0.0,0.0,0.0,9.89,1.17,0.0
20230106:1809,0.0,0.0,0.0,0.0,7.75,0.9,0.0
20230106:1909,0.0,0.0,0.0,0.0,7.15,0.9,0.0
20230106:2009,0.0,0.0,0.0,0.0,6.3,1.03,0.0
20230106:2109,0.0,0.0,0.0,0.0,5.45,1.1,0.0
20230106:2209,0.0,0.0,0.0,0.0,4.6,1.17,0.0
20230106:2309,0.0,0.0,0.0,0.0,3.79,1.24,0.0
20230107:0009,0.0,0.0,0.0,0.0,3.16,1.31,0.0
20230107:0109,0.0,0.0,0.0,0.0,2.66,1.38,0.0
20230107:0209,0.0,0.0,0.0,0.0,2.26,1.38,0.0
20230107:0309,0.0,0.0,0.0,0.0,2.13,1.45,0.0
20230107:0409,0.0,0.0,0.0,0.0,1.96,1.45,0.0
20230107:0509,0.0,0.0,0.0,0.0,1.76,1.45,0.0
20230107:0609,0.0,0.0,0.0,0.0,1.65,1.45,0.0
20230107:0709,0.0,0.0,0.0,0.0,-0.6,1.38,0.0
20230107:0809,48.0,35.0,0.0,6.52,-0.28,1.38,0.0
20230107:0909,24.0,126.0,0.0,15.66,3.03,1.1,0.0
20230107:1009,204.01,145.0,0.0,23.09,6.55,1.1,0.0
20230107:1109,398.01,92.0,0.0,28.17,9.24,1.59,0.0
20230107:1209,416.01,106.0,0.0,30.27,10.7,2.0,0.0
20230107:1309,389.01,108.0,0.0,29.07,11.52,2.14,0.0
20230107:1409,354.01,76.0,0.0,24.77,11.88,2.14,0.0
20230107:1509,269.01,44.0,0.0,17.92,11.84,2.28,0.0
20230107:1609,93.01,39.0,0.0,9.19,10.94,2.14,0.0
20230107:1709,0.0,0.0,0.0,0.0,9.03,1.79,0.0
20230107:1809,0.0,0.0,0.0,0.0,7.05,1.66,0.0
20230107:1909,0.0,0.0,0.0,0.0,5.86,1.1,0.0
20230107:2009,0.0,0.0,0.0,0.0,5.02,1.17,0.0
20230107:2109,0.0,0.0,0.0,0.0,3.87,1.45,0.0
20230107:2209,0.0,0.0,0.0,0.0,3.6,1.52,0.0
20230107:2309,0.0,0.0,0.0,0.0,3.84,1.59,0.0
20230108:0009,0.0,0.0,0.0,0.0,4.12,1.66,0.0
20230108:0109,0.0,0.0,0.0,0.0,4.38,1.79,0.0
20230108:0209,0.0,0.0,0.0,0.0,4.44,1.93,0.0
20230108:0309,0.0,0.0,0.0,0.0,4.49,1.93,0.0
20230108:0409,0.0,0.0,0.0,0.0,4.95,2.07,0.0
20230108:0509,0.0,0.0,0.0,0.0,5.58,2.28,0.0
20230108:0609,0.0,0.0,0.0,0.0,6.65,2.48,0.0
20230108:0709,0.0,0.0,0.0,0.0,6.95,2.34,0.0
20230108:0809,10.0,44.0,0.0,6.54,7.58,2.48,0.0
20230108:0909,20.0,121.0,0.0,15.71,8.58,2.34,0.0
20230108:1009,8.0,162.0,0.0,23.17,9.36,2.76,0.0
20230108:1109,17.0,212.0,0.0,28.27,10.5,4.62,0.0
20230108:1209,223.01,207.0,0.0,30.39,10.98,4.62,0.0
20230108:1309,139.0,230.0,0.0,29.22,10.77,4.28,0.0
20230108:1409,147.0,183.0,0.0,24.92,10.8,3.86,0.0
20230108:1509,61.0,143.0,0.0,18.08,10.49,3.03,0.0
20230108:1609,12.0,65.0,0.0,9.35,10.33,3.03,0.0
20230108:1709,0.0,0.0,0.0,0.0,9.95,3.59,0.0
20230108:1809,0.0,0.0,0.0,0.0,9.74,3.24,0.0
