date,time_of_day,Gb(i),Gd(i),Gr(i),H_sun,T2m,1.93,0
01/01/2023,00:09,0,0,0,0,4.09,1.93,0
01/01/2023,01:09,0,0,0,0,3.83,1.86,0
01/01/2023,02:09,0,0,0,0,3.52,1.24,0
01/01/2023,03:09,0,0,0,0,3.03,0.97,0
01/01/2023,04:09,0,0,0,0,2.45,0.9,0
01/01/2023,05:09,0,0,0,0,1.86,0.76,0
01/01/2023,06:09,0,0,0,0,1.38,0.55,0
01/01/2023,07:09,0,0,0,0,0.38,0.41,0
01/01/2023,08:09,53,32,0,6.49,0.41,0.41,0
01/01/2023,09:09,41,126,0,15.52,4.36,0.55,0
01/01/2023,10:09,121,178,0,22.81,10.72,0.41,0
01/01/2023,11:09,257.01,169,0,27.72,13.45,0.76,0
01/01/2023,12:09,366.01,128,0,29.66,14.75,1.45,0
01/01/2023,13:09,319.01,140,0,28.33,15.47,1.59,0
01/01/2023,14:09,277.01,112,0,23.95,15.68,1.59,0
01/01/2023,15:09,136.01,108,0,17.06,15.46,1.52,0
01/01/2023,16:09,77.01,37,0,8.32,14.58,1.52,0
01/01/2023,17:09,0,0,0,0,13.37,1.38,0
01/01/2023,18:09,0,0,0,0,11.86,1.24,0
01/01/2023,19:09,0,0,0,0,7.91,1.24,0
01/01/2023,20:09,0,0,0,0,6.23,1.24,0
01/01/2023,21:09,0,0,0,0,5.31,1.17,0
01/01/2023,22:09,0,0,0,0,4.83,1.1,0
01/01/2023,23:09,0,0,0,0,4.85,1.24,0
02/01/2023,00:09,0,0,0,0,5.65,1.38,0
02/01/2023,01:09,0,0,0,0,6.52,1.31,0
02/01/2023,02:09,0,0,0,0,6.97,0.83,0
02/01/2023,03:09,0,0,0,0,7.09,0.48,0
02/01/2023,04:09,0,0,0,0,7.36,0.62,0
02/01/2023,05:09,0,0,0,0,7.67,0.97,0
02/01/2023,06:09,0,0,0,0,6.48,1.17,0
02/01/2023,07:09,0,0,0,0,5.28,1.79,0
02/01/2023,08:09,39,37,0,6.48,4.87,1.93,0
02/01/2023,09:09,34,124,0,15.53,6.7,1.31,0
02/01/2023,10:09,142.01,167,0,22.84,10.73,0.9,0
02/01/2023,11:09,30,223,0,27.78,12.27,0.48,0
02/01/2023,12:09,113,245,0,29.74,13.16,0.62,0
02/01/2023,13:09,38,231,0,28.44,13.67,0.41,0
02/01/2023,14:09,118,188,0,24.07,13.93,0.76,0
02/01/2023,15:09,206.01,67,0,17.19,13.33,0.83,0
02/01/2023,16:09,90.01,31,0,8.45,11.85,1.1,0
02/01/2023,17:09,0,0,0,0,10.36,1.17,0
02/01/2023,18:09,0,0,0,0,8.96,1.17,0
02/01/2023,19:09,0,0,0,0,8.76,1.24,0
02/01/2023,20:09,0,0,0,0,8.24,1.31,0
02/01/2023,21:09,0,0,0,0,7.54,1.31,0
02/01/2023,22:09,0,0,0,0,6.67,1.31,0
02/01/2023,23:09,0,0,0,0,5.41,1.24,0
03/01/2023,00:09,0,0,0,0,4.57,1.31,0
03/01/2023,01:09,0,0,0,0,4.14,1.24,0
03/01/2023,02:09,0,0,0,0,3.86,0.55,0
03/01/2023,03:09,0,0,0,0,3.26,0.48,0
03/01/2023,04:09,0,0,0,0,3.13,0.34,0
03/01/2023,05:09,0,0,0,0,2.95,0.14,0
03/01/2023,06:09,0,0,0,0,2.79,0.55,0
03/01/2023,07:09,0,0,0,0,2.49,1.03,0
03/01/2023,08:09,25,42,0,6.48,2.56,1.38,0
03/01/2023,09:09,129.01,93,0,15.54,6.12,1.24,0
03/01/2023,10:09,294.01,86,0,22.87,9.49,0.9,0
03/01/2023,11:09,346.01,114,0,27.84,11.05,0.34,0
03/01/2023,12:09,397.01,106,0,29.83,12.23,0.21,0
03/01/2023,13:09,328.01,133,0,28.55,12.98,0.55,0
03/01/2023,14:09,25,192,0,24.19,13.32,0.76,0
03/01/2023,15:09,101,124,0,17.32,12.99,0.9,0
03/01/2023,16:09,33,58,0,8.59,12.17,1.03,0
03/01/2023,17:09,0,0,0,0,10.81,1.1,0
03/01/2023,18:09,0,0,0,0,9.73,1.24,0
03/01/2023,19:09,0,0,0,0,9.27,1.31,0
03/01/2023,20:09,0,0,0,0,8.51,1.24,0
