Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,hour,day_of_year,DNI,T_amb,Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,P_turbine,P_net
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,4.09,0.0,1.0,567.279923475184,0.0,0.0,-5263.268189507071
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,3.83,0.0,1.0,567.279923475184,0.0,0.0,-5263.268189507071
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,3.52,0.0,1.0,567.279923475184,0.0,0.0,-5263.268189507071
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,3.03,0.0,1.0,567.279923475184,0.0,0.0,-5263.268189507071
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,2.45,0.0,1.0,567.279923475184,0.0,0.0,-5263.268189507071
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0.0,1.86,0.0,1.0,567.279923475184,0.0,0.0,-5263.268189507071
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0.0,1.38,0.0,1.0,567.279923475184,0.0,0.0,-5263.268189507071
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0.0,0.38,0.0,1.0,567.279923475184,0.0,0.0,-5263.268189507071
75682957.87769751,140437000.0,direct_partial,75682957.87769751,0.0,0.0,0.0,0.0,0.0,0.0,8,1,468.90288677226965,0.41,76517851.73578495,316.25301771696957,665.8540784933226,30.934623713730875,30060644.547073774,28799450.53779324
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,153.22822135716152,4.36,0.0,1.0,567.279923475184,0.0,0.0,-5263.268189507071
9865427.590040948,140437000.0,charging_only,0.0,9865427.590040948,0.0,69.9066129940433,0.0,0.0,0.00883030900977389,10,1,312.1159200623479,10.72,0.0,41.224224500587376,599.0924064956174,0.0,0.0,-111118.70882027331
