time,DNI,hour,date
2023-07-01 00:09:00,0.0,0,2023-07-01
2023-07-01 01:09:00,0.0,1,2023-07-01
2023-07-01 02:09:00,0.0,2,2023-07-01
2023-07-01 03:09:00,0.0,3,2023-07-01
2023-07-01 04:09:00,0.0,4,2023-07-01
2023-07-01 05:09:00,0.0,5,2023-07-01
2023-07-01 06:09:00,378.7099327713487,6,2023-07-01
2023-07-01 07:09:00,549.9516125868157,7,2023-07-01
2023-07-01 08:09:00,708.2519869080319,8,2023-07-01
2023-07-01 09:09:00,787.3359994863065,9,2023-07-01
2023-07-01 10:09:00,842.4167047433488,10,2023-07-01
2023-07-01 11:09:00,851.6130349112073,11,2023-07-01
2023-07-01 12:09:00,827.4968895275579,12,2023-07-01
2023-07-01 13:09:00,854.4477215776478,13,2023-07-01
2023-07-01 14:09:00,848.2440443400819,14,2023-07-01
2023-07-01 15:09:00,796.5809251478775,15,2023-07-01
2023-07-01 16:09:00,417.79854606133534,16,2023-07-01
2023-07-01 17:09:00,581.4780180355631,17,2023-07-01
2023-07-01 18:09:00,436.1448016584082,18,2023-07-01
2023-07-01 19:09:00,0.0,19,2023-07-01
2023-07-01 20:09:00,0.0,20,2023-07-01
2023-07-01 21:09:00,0.0,21,2023-07-01
2023-07-01 22:09:00,0.0,22,2023-07-01
2023-07-01 23:09:00,0.0,23,2023-07-01
2023-07-02 00:09:00,0.0,0,2023-07-02
2023-07-02 01:09:00,0.0,1,2023-07-02
2023-07-02 02:09:00,0.0,2,2023-07-02
2023-07-02 03:09:00,0.0,3,2023-07-02
2023-07-02 04:09:00,0.0,4,2023-07-02
2023-07-02 05:09:00,0.0,5,2023-07-02
2023-07-02 06:09:00,339.4917309688108,6,2023-07-02
2023-07-02 07:09:00,541.8626329179053,7,2023-07-02
2023-07-02 08:09:00,687.4423587307876,8,2023-07-02
2023-07-02 09:09:00,767.9622637996345,9,2023-07-02
2023-07-02 10:09:00,834.8952089607282,10,2023-07-02
2023-07-02 11:09:00,817.9661287816672,11,2023-07-02
2023-07-02 12:09:00,153.78481931527685,12,2023-07-02
2023-07-02 13:09:00,343.52451272726813,13,2023-07-02
2023-07-02 14:09:00,23.848457793153397,14,2023-07-02
2023-07-02 15:09:00,776.9439151267726,15,2023-07-02
2023-07-02 16:09:00,467.80532184473844,16,2023-07-02
2023-07-02 17:09:00,321.04770879955794,17,2023-07-02
2023-07-02 18:09:00,0.0,18,2023-07-02
2023-07-02 19:09:00,0.0,19,2023-07-02
2023-07-02 20:09:00,0.0,20,2023-07-02
2023-07-02 21:09:00,0.0,21,2023-07-02
2023-07-02 22:09:00,0.0,22,2023-07-02
2023-07-02 23:09:00,0.0,23,2023-07-02
2023-07-03 00:09:00,0.0,0,2023-07-03
